query_name	GCA_000162535.1	GCA_000182945.1	GCA_000613465.1	GCA_000980425.1	GCA_003458755.1	GCA_003539015.1	GCA_003604075.1	GCA_015052045.1	GCA_015257205.1	GCA_015257245.1	GCA_018368055.1	GCA_018785345.1	GCA_019412865.1	GCA_019414665.1	GCA_020563745.1	GCA_021769645.1	GCA_022720675.1	GCA_024792765.1	GCA_025147485.1	GCA_025150085.1	GCA_900036035.1	GCA_900066185.1	GCA_900105895.1	GCA_900540985.1	GCA_900541145.1	GCA_900541155.1	GCA_900541435.1	GCA_900544865.1	GCA_900547635.1	GCA_900548495.1	GCA_900755095.1	GCA_900757465.1	GCA_900759325.1	GCA_902461085.1	GCA_905208585.1	GCA_905209455.1	GCA_905210095.1	GCA_905215725.1	GCA_916438895.1	GCA_934864935.1	GCA_934864975.1	GCA_934876635.1	GCA_944322245.1	GCA_944390785.1	GCF_000011065.1	GCF_000012825.1	GCF_000025985.1	GCF_000153925.1	GCF_000157055.1	GCF_000163915.2	GCF_000210075.1	GCF_000220235.1	GCF_000336235.1	GCF_000382465.1	GCF_000403175.1	GCF_000468815.1	GCF_000479205.1	GCF_000598785.2	GCF_000614125.1	GCF_001314995.1	GCF_001405475.1	GCF_001405615.1	GCF_001406815.1	GCF_001433955.1	GCF_001455125.1	GCF_002204475.1	GCF_002222615.2	GCF_002749995.1	GCF_002865385.1	GCF_002865425.1	GCF_003024715.1	GCF_003438425.1	GCF_003454775.1	GCF_003459065.1	GCF_003459325.1	GCF_003472385.1	GCF_003478615.1	GCF_003479845.1	GCF_003481165.1	GCF_003602995.1	GCF_003865035.1	GCF_003938725.1	GCF_008121495.1	GCF_008572355.1	GCF_008710235.1	GCF_009020355.1	GCF_009093695.1	GCF_009093915.1	GCF_009718155.1	GCF_013009555.1	GCF_015547765.1	GCF_015556385.1	GCF_015557945.1	GCF_015559975.1	GCF_015670795.1	GCF_018127825.1	GCF_018127845.1	GCF_018785745.1	GCF_018785965.1	GCF_019128735.1	GCF_019131575.1	GCF_019375595.1	GCF_019552065.1	GCF_019583405.1	GCF_020256225.1	GCF_020709435.1	GCF_021406345.1	GCF_021409845.1	GCF_021412335.1	GCF_023148225.1	GCF_024140205.1	GCF_024788765.1	GCF_024789695.1	GCF_024793185.1	GCF_037895375.1	GCF_037897555.1	GCF_037897925.1	GCF_900450795.1	GCF_900637905.1	GCF_902373675.1	GCF_902388185.1	GCF_902501475.1	GCF_918270795.1
ERR2726542_rs214	0	0	0	238	801	0	187	72	0	0	0	1070	0	0	0	1030	83	0	0	0	0	768	0	0	0	0	0	0	0	0	0	0	553	0	0	0	0	80	98	754	180	0	154	117	0	0	0	0	111	59	0	0	276	129	118	1349	0	5444	0	0	2445	0	540	300	0	181	0	0	0	762	0	138	0	1488	0	0	110	0	0	293	0	0	0	0	271	0	0	0	0	0	2081	53	467	884	0	0	684	151	0	0	84	3990	0	0	0	0	1725	0	0	484	0	110	215	0	0	0	0	448	0	77	0	157	2369
ERR2726542_rs214_fuso	0	0	0	238	801	0	187	72	0	0	0	1070	0	0	0	1030	83	0	0	0	0	768	0	0	0	0	0	0	0	0	0	0	553	0	0	0	0	80	98	754	180	0	175	117	0	0	0	0	111	0	0	0	276	129	118	1349	0	5444	0	0	2445	0	540	289	0	181	0	0	0	762	0	138	0	1488	0	0	110	0	0	293	0	0	0	0	271	0	0	0	0	0	2081	53	467	884	0	0	684	151	0	0	84	3990	0	0	0	0	1725	0	0	484	65	110	215	0	452	0	0	0	0	77	0	157	2369
ERR2726542_rs214reps	0	383	817	0	0	0	0	0	0	0	0	0	349	94	0	0	0	0	1874	411	0	0	1233	97	175	0	0	0	0	0	128	0	553	0	0	0	0	0	0	0	0	0	0	0	1181	1320	4359	691	0	0	827	3701	0	0	0	0	0	0	143	1582	0	0	542	0	0	0	1399	0	0	0	699	0	0	0	0	862	0	0	0	0	946	0	608	0	0	0	0	0	0	411	0	0	0	0	439	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	459	0	0	0	0
ERR2726542_rs214reps_fuso	0	0	817	0	0	0	0	0	0	0	0	0	349	94	0	0	0	0	1874	411	0	0	1233	97	175	0	0	0	0	0	128	0	553	0	0	0	0	0	0	0	0	0	0	0	1181	1320	4359	691	0	0	827	3701	0	0	0	0	0	0	143	1582	0	0	542	0	0	0	1399	0	0	0	699	0	0	0	0	862	0	0	0	0	946	0	608	0	0	0	0	0	0	411	0	0	0	0	439	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	452	0	289	65	459	0	0	0	0
ERR2726543_rs214	0	0	0	0	805	102	151	0	0	543	0	1168	0	0	425	1019	0	79	0	0	73	0	0	0	0	162	134	0	0	0	0	0	0	0	71	0	58	0	86	0	170	164	150	0	0	0	0	0	132	0	0	0	164	0	130	1368	0	5311	0	0	2452	67	548	0	254	144	0	404	771	0	0	0	0	0	81	0	0	0	686	0	0	0	0	1479	199	328	0	0	740	0	2030	0	0	780	459	3909	306	0	278	77	0	678	0	0	0	83	1796	0	0	432	78	0	0	0	0	0	0	0	0	80	124	0	2529
ERR2726543_rs214_fuso	0	0	0	0	805	102	151	0	0	543	0	1168	0	0	425	1019	0	79	0	0	73	0	0	0	0	162	134	0	0	0	0	0	0	0	71	0	58	0	86	0	170	164	150	0	0	0	0	0	132	0	0	0	164	0	130	1368	68	5311	0	0	2452	67	548	0	0	144	0	0	771	0	0	0	0	0	81	0	0	0	686	0	0	0	0	1479	199	328	0	0	740	0	2030	0	0	780	459	3909	306	0	278	77	0	678	0	0	0	83	1796	0	0	432	0	0	0	0	417	251	0	0	0	80	124	0	2529
ERR2726543_rs214reps	0	327	749	0	0	0	0	0	0	0	0	0	373	91	0	0	0	0	1803	395	0	0	1220	0	0	0	0	0	0	154	116	79	514	0	0	65	0	0	0	0	0	0	0	0	1087	1392	4272	701	0	0	843	3658	0	0	0	0	0	0	0	1699	0	0	573	0	0	0	1365	0	0	0	665	0	0	0	0	878	0	0	0	0	1021	0	615	0	0	0	0	0	0	426	0	0	0	0	459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	405	0	0	0	0
ERR2726543_rs214reps_fuso	0	0	749	0	0	0	0	0	0	0	0	0	373	91	0	0	0	0	1803	395	0	0	1220	0	0	0	0	0	0	154	116	79	514	0	0	65	0	0	0	0	0	0	0	0	1087	1392	4272	701	0	0	843	3658	0	0	0	0	68	0	0	1699	0	0	573	0	0	0	1365	0	0	0	665	0	0	0	0	878	0	0	0	0	1021	0	615	0	0	0	0	0	0	426	0	0	0	0	459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	417	251	0	0	405	0	0	0	0
ERR2726544_rs214	659	0	0	0	0	0	163	83	100	581	63	1173	0	0	447	1091	0	0	0	0	86	828	0	0	0	0	132	0	87	0	0	0	0	0	0	0	0	0	0	685	205	0	161	0	0	0	0	0	0	0	0	0	167	141	135	1469	0	5623	0	0	2508	0	561	297	0	0	0	0	0	793	0	1825	92	132	0	0	0	104	0	322	0	506	0	0	96	0	904	157	0	0	0	0	161	807	464	293	699	0	0	0	95	4158	72	0	320	0	0	64	2115	0	0	1763	255	81	0	0	0	522	0	0	0	0	2688
ERR2726544_rs214_fuso	659	0	0	0	0	0	163	83	100	581	63	1173	0	0	447	1091	0	0	0	0	86	828	0	0	0	0	132	0	87	0	0	0	0	0	0	0	0	0	0	685	205	0	187	0	0	0	0	0	0	0	0	0	167	141	135	1469	0	5623	0	0	2508	0	561	285	0	0	0	0	0	793	0	1825	92	132	0	0	0	104	0	322	0	506	0	0	96	0	904	157	0	0	0	0	161	807	464	293	699	0	0	0	95	4158	68	0	320	0	0	64	2115	0	0	1763	255	81	518	0	0	72	0	0	0	0	2688
