"query_name","Abundance","Species","database"
"ERR2726542_rs214",0.0236116800280882,"s__Fusobacterium nucleatum spp","rs214"
"ERR2726542_rs214_fuso",0.0235686297444295,"s__Fusobacterium nucleatum spp","rs214_fuso"
"ERR2726542_rs214reps",0.0145163735597332,"s__Fusobacterium nucleatum spp","rs214reps"
"ERR2726542_rs214reps_fuso",0.0300667736039094,"s__Fusobacterium nucleatum spp","rs214reps_fuso"
"ERR2726543_rs214",0.0214846600694749,"s__Fusobacterium nucleatum spp","rs214"
"ERR2726543_rs214_fuso",0.0214846600694749,"s__Fusobacterium nucleatum spp","rs214_fuso"
"ERR2726543_rs214reps",0.0126035845056851,"s__Fusobacterium nucleatum spp","rs214reps"
"ERR2726543_rs214reps_fuso",0.0279274493435532,"s__Fusobacterium nucleatum spp","rs214reps_fuso"
"ERR2726544_rs214",0.0241247664690115,"s__Fusobacterium nucleatum spp","rs214"
"ERR2726544_rs214_fuso",0.0254789116749075,"s__Fusobacterium nucleatum spp","rs214_fuso"
"ERR2726544_rs214reps",0.0151372832369942,"s__Fusobacterium nucleatum spp","rs214reps"
"ERR2726544_rs214reps_fuso",0.0339829907866761,"s__Fusobacterium nucleatum spp","rs214reps_fuso"
