intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
1263000,0.004147075047939268,0.5448662640207075,0.004147075047939268,0.0038936581068940157,4.388756927949327,3.0,4.5651889768768275,/data/namlhs/StrainDB_CRC/sourmash/database/fuso_1003.zip,GCF_963547975.1 MAG: Fusobacterium pseudoperiodonticum isolate SRR13061527_bin.13_MetaWRAP_v1.3_MAG ERZ21659725.15,e1d54b46db3cfcb3cc4837d2c429da0a,0.5448662640207075,1263000,0,1763000,../test_fastq/new_control/SRR28153046_2.fastq.gz,SRR28153046,bdab206a,304552000,31,DNA,1000,304552,True,0.8378243231352891,0.9806030126977668,0.9092136679165279,0.9806030126977668,False,5543,5543,1423597
1141000,0.0037464866426751425,0.12239800166527894,0.0009653523864561717,0.001330432699703638,6.442176870748299,3.0,17.069537353581538,/data/namlhs/StrainDB_CRC/sourmash/database/fuso_1003.zip,GCA_036231705.1 Fusobacterium pseudoperiodonticum strain IOOS_12 contig_4,113a56d7e39840e8a3144a5ac8a0e9a6,0.4750208159866778,294000,1,1469000,../test_fastq/new_control/SRR28153046_2.fastq.gz,SRR28153046,bdab206a,304552000,31,DNA,1000,304552,True,0.8350833265077099,0.976273218017222,0.9056782722624659,0.976273218017222,False,1894,7437,1423597
301000,0.0009883369670860805,0.09450171821305842,0.0007223725340828495,0.0003034566664582744,1.9636363636363636,2.0,1.5161390721007137,/data/namlhs/StrainDB_CRC/sourmash/database/fuso_1003.zip,GCA_027682085.1 Fusobacterium polymorphum strain AF55-12MHA AF55-12MHA.Scaf1,1e48323ae31b955bb32bcd63a712b1a7,0.12929553264604812,220000,2,1249000,../test_fastq/new_control/SRR28153046_2.fastq.gz,SRR28153046,bdab206a,304552000,31,DNA,1000,304552,True,0.7999474399764834,0.9361412963474205,0.868044368161952,0.9361412963474205,False,432,7869,1423597
864000,0.0028369539520344635,0.08400569530137636,0.0005811815387848381,0.00040320399663668863,3.2429378531073447,2.0,2.7335059257033407,/data/namlhs/StrainDB_CRC/sourmash/database/fuso_1003.zip,GCA_002761935.1 Fusobacterium pseudoperiodonticum strain KCOM 1321 contig1,63ad194a8b077e98685e3de3bff542d5,0.41006169909824397,177000,3,1072000,../test_fastq/new_control/SRR28153046_2.fastq.gz,SRR28153046,bdab206a,304552000,31,DNA,1000,304552,True,0.8276256552482121,0.9716531540065336,0.8996394046273728,0.9716531540065336,False,574,8443,1423597
824000,0.0027056134912921276,0.05154639175257732,0.0003940213822270089,0.00019527998443379693,2.316666666666667,2.0,1.852850656570992,/data/namlhs/StrainDB_CRC/sourmash/database/fuso_1003.zip,GCA_902374215.1 Fusobacterium periodonticum isolate MGYG-HGUT-01350 genome assembly,4e9d290c03e346fffb0c084f37f71b04,0.3539518900343643,120000,4,952000,../test_fastq/new_control/SRR28153046_2.fastq.gz,SRR28153046,bdab206a,304552000,31,DNA,1000,304552,True,0.826361096218454,0.9670519701741414,0.8967065331962977,0.9670519701741414,False,278,8721,1423597
900000,0.0029551603667025664,0.03717472118959108,0.00029551603667025663,0.0003315545059451516,5.2444444444444445,2.0,8.722016982723295,/data/namlhs/StrainDB_CRC/sourmash/database/fuso_1003.zip,GCA_937906245.1 MAG TPA_asm: Fusobacterium periodonticum isolate SRR1952597_bin.57_CONCOCT_v1.1_MAG genome assembly,96a279c658bc9f813cda1de937491d89,0.37174721189591076,90000,5,862000,../test_fastq/new_control/SRR28153046_2.fastq.gz,SRR28153046,bdab206a,304552000,31,DNA,1000,304552,True,0.8287162224947627,0.9685834035183079,0.8986498130065352,0.9685834035183079,False,472,9193,1423597
103000,0.00033820168641151595,0.045121951219512194,0.00024297985237332212,9.483020826821074e-05,1.8243243243243243,1.0,1.3392021435542207,/data/namlhs/StrainDB_CRC/sourmash/database/fuso_1003.zip,GCF_963538795.1 MAG: Fusobacterium massiliense isolate SRR15001303_bin.5_MetaWRAP_v1.3_MAG ERZ14214142.19,56a190d28b378f7b4d4caf3ebf41e7af,0.06280487804878049,74000,6,788000,../test_fastq/new_control/SRR28153046_2.fastq.gz,SRR28153046,bdab206a,304552000,31,DNA,1000,304552,True,0.7727480681769618,0.9145881978392169,0.8436681330080893,0.9145881978392169,False,135,9328,1423597
790000,0.0025939740996611415,0.03297818366311517,0.00021342824870629646,0.0001454063193445898,3.1846153846153844,2.0,2.822395641961508,/data/namlhs/StrainDB_CRC/sourmash/database/fuso_1003.zip,GCA_963523465.1 MAG TPA_asm: Fusobacterium pseudoperiodonticum isolate ERR9968875_bin.10_MetaWRAP_v1.3_MAG genome assembly,756b649fd54effcaf5a1891cbea40aac,0.40081177067478435,65000,7,723000,../test_fastq/new_control/SRR28153046_2.fastq.gz,SRR28153046,bdab206a,304552000,31,DNA,1000,304552,True,0.8252386057152318,0.9709382892643343,0.898088447489783,0.9709382892643343,False,207,9535,1423597
600000,0.0019701069111350443,0.03867747972551466,0.00020357771415062124,0.0004446483098798326,10.209677419354838,2.0,20.74665701541568,/data/namlhs/StrainDB_CRC/sourmash/database/fuso_1003.zip,GCA_963548405.1 MAG TPA_asm: Fusobacterium periodonticum isolate SRR23388455_bin.19_MetaWRAP_v1.3_MAG genome assembly,392e74b2ae7018d4f2a681a943451701,0.37429819089207733,62000,8,661000,../test_fastq/new_control/SRR28153046_2.fastq.gz,SRR28153046,bdab206a,304552000,31,DNA,1000,304552,True,0.8179475901937608,0.9687970995936347,0.8933723448936978,0.9687970995936347,False,633,10168,1423597
881000,0.002892773647849957,0.026156941649899398,0.00017074259896503717,0.00011941581781922833,3.269230769230769,2.0,2.9490245102627033,/data/namlhs/StrainDB_CRC/sourmash/database/fuso_1003.zip,GCA_963544665.1 MAG TPA_asm: Fusobacterium periodonticum isolate ERR10228880_bin.10_MetaWRAP_v1.3_MAG genome assembly,7d8ead7aa2e5dfeb19baa1d4cd1c6a53,0.443158953722334,52000,9,609000,../test_fastq/new_control/SRR28153046_2.fastq.gz,SRR28153046,bdab206a,304552000,31,DNA,1000,304552,True,0.8281460177228751,0.9740891242682035,0.9011175709955392,0.9740891242682035,False,170,10338,1423597
