intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
4795000,0.07877961423454802,0.8681875792141952,0.07877961423454802,0.16083545845208996,3.8012513034410844,3.0,4.99888605927501,/tmp/nxf.XXXXiifSuK/sourmash_database/gtdb-rs214-k31.zip,"GCF_015554125.1 Phocaeicola dorei strain=1001302B_160321_F1, ASM1555412v1",b5d6809ffc5a610bb92d78c6c454b2e3,0.8681875792141952,4795000,0,44135000,DRR127478.fastq.gz,DRR127478,743eab88,60866000,31,DNA,1000,60866,True,0.9212986754298109,0.9954507829654887,0.9583747291976499,0.9954507829654887,False,18227,18227,113327,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola dorei
3406000,0.05595899188381034,0.6695498329074111,0.05595899188381034,0.06512128618952236,2.166764533176747,2.0,1.765400962771005,/tmp/nxf.XXXXiifSuK/sourmash_database/gtdb-rs214-k31.zip,"GCF_000408085.1 Escherichia coli KTE185 strain=KTE185, Esch_coli_KTE185_V1",c52d5821b2947962944e02f5ca9c97ee,0.6695498329074111,3406000,1,40729000,DRR127478.fastq.gz,DRR127478,743eab88,60866000,31,DNA,1000,60866,True,0.9111894985697043,0.9871430534871082,0.9491662760284063,0.9871430534871082,False,7380,25607,113327,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
2449000,0.0402359281043604,0.7619047619047619,0.04021949857063056,0.05769145922860395,2.670751633986928,2.0,3.4288178125862996,/tmp/nxf.XXXXiifSuK/sourmash_database/gtdb-rs214-k31.zip,"GCA_017851115.1 [Ruminococcus] gnavus, ASM1785111v1",8e4676fb3030d83eefd4bec3362ba5de,0.7622159975101152,2448000,2,38281000,DRR127478.fastq.gz,DRR127478,743eab88,60866000,31,DNA,1000,60866,True,0.901545290692946,0.9912793665315822,0.9464123286122641,0.9912793665315822,False,6538,32145,113327,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Ruminococcus_B;s__Ruminococcus_B gnavus
2343000,0.03849439752899813,0.5980655561526061,0.03657214208260769,0.06841264658907409,3.4829290206648698,2.0,4.499468437346973,/tmp/nxf.XXXXiifSuK/sourmash_database/gtdb-rs214-k31.zip,"GCA_000156035.2 Tyzzerella nexilis DSM 1787 strain=DSM 1787, ASM15603v2",beea12f2bb2641e8b2817f724f4b9b2e,0.6295002686727565,2226000,3,36055000,DRR127478.fastq.gz,DRR127478,743eab88,60866000,31,DNA,1000,60866,True,0.9002593946817476,0.9851809316739369,0.9427201631778424,0.9851809316739369,False,7753,39898,113327,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__Faecalimonas phoceensis
1873000,0.030772516675976736,0.5464941318086067,0.02983603325337627,0.04833799535856415,3.0165198237885464,2.0,2.8951486465690093,/tmp/nxf.XXXXiifSuK/sourmash_database/gtdb-rs214-k31.zip,"GCA_003434325.1 Lachnospiraceae bacterium AM25-17 strain=AM25-17, ASM343432v1",cc5902bf37702f57b9cf8323ece657aa,0.5636473066506169,1816000,4,34239000,DRR127478.fastq.gz,DRR127478,743eab88,60866000,31,DNA,1000,60866,True,0.8937808905843495,0.9816755667057215,0.9377282286450355,0.9816755667057215,False,5478,45376,113327,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__Faecalimonas umbilicata
1817000,0.029852462787106102,0.5540838852097131,0.028866690763316136,0.04807327468299699,3.1007398975526463,2.0,2.8317623881927965,/tmp/nxf.XXXXiifSuK/sourmash_database/gtdb-rs214-k31.zip,"GCA_008680735.1 [Ruminococcus] faecis, ASM868073v1",ae779387b79af3d6c6523b76acf10b2c,0.5730053610848312,1757000,5,32482000,DRR127478.fastq.gz,DRR127478,743eab88,60866000,31,DNA,1000,60866,True,0.8929061449909665,0.9821971446709538,0.9375516448309602,0.9821971446709538,False,5448,50824,113327,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter faecis
1804000,0.029638878848618277,0.33782223932281646,0.028850261229586303,0.023630732305628843,1.5250569476082005,1.0,1.081501501568963,/tmp/nxf.XXXXiifSuK/sourmash_database/gtdb-rs214-k31.zip,"GCF_024759505.1 Bacteroides caccae strain=BFG-474, ASM2475950v1",719a6d990758dccb1edcc5ab279c76cd,0.3470565602154675,1756000,6,30726000,DRR127478.fastq.gz,DRR127478,743eab88,60866000,31,DNA,1000,60866,True,0.8926993497636507,0.9664384538606363,0.9295689018121436,0.9664384538606363,False,2678,53502,113327,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides caccae
3215000,0.05282095094141228,0.3141075604053001,0.02648440837249039,0.02573967368764725,1.8095533498759304,1.0,2.4048303436303162,/tmp/nxf.XXXXiifSuK/sourmash_database/gtdb-rs214-k31.zip,"GCF_015555305.1 Phocaeicola vulgatus strain=D53t1_180928_C3, ASM1555530v1",3f0f670d88685e3a9f970718d49d7821,0.6264614185502728,1612000,7,29114000,DRR127478.fastq.gz,DRR127478,743eab88,60866000,31,DNA,1000,60866,True,0.9094947584463765,0.9850271572389462,0.9472609578426614,0.9850271572389462,False,2917,56419,113327,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus
1652000,0.0271415897216837,0.19958041958041958,0.02344494463247133,0.02034819592859601,1.6159775753328662,1.0,4.327804510252808,/tmp/nxf.XXXXiifSuK/sourmash_database/gtdb-rs214-k31.zip,"GCF_024788685.1 Bacteroides thetaiotaomicron strain=BFG-507, ASM2478868v1",bb158a447b5e5d9be2bfa29df9a3f6cd,0.23104895104895104,1427000,8,27687000,DRR127478.fastq.gz,DRR127478,743eab88,60866000,31,DNA,1000,60866,True,0.890168261862602,0.9538373461563504,0.9220028040094762,0.9538373461563504,False,2306,58725,113327,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron
1073000,0.017628889692110537,0.19081991486211364,0.016938849275457562,0.011250628711604472,1.236663433559651,1.0,0.6120786499510835,/tmp/nxf.XXXXiifSuK/sourmash_database/gtdb-rs214-k31.zip,"GCF_902364915.1 Bacteroides nordii, MGYG-HGUT-00265",27f8f56ad1ee30c92ccca65e0b1c4527,0.1985933740514529,1031000,9,26656000,DRR127478.fastq.gz,DRR127478,743eab88,60866000,31,DNA,1000,60866,True,0.8778627306982926,0.9491911968484091,0.9135269637733509,0.9491911968484091,False,1275,60000,113327,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides nordii
1114000,0.01830250057503368,0.2186695278969957,0.01674169487069957,0.012494815886770143,1.3895976447497547,1.0,1.1494461417617354,/tmp/nxf.XXXXiifSuK/sourmash_database/gtdb-rs214-k31.zip,"GCF_003438825.1 Parabacteroides merdae strain=OM06-16AC, ASM343882v1",5e73b138c6be8c40bcf6bee7941673eb,0.2390557939914163,1019000,10,25637000,DRR127478.fastq.gz,DRR127478,743eab88,60866000,31,DNA,1000,60866,True,0.8789252664908103,0.9548861395784038,0.9169057030346071,0.9548861395784038,False,1416,61416,113327,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides merdae
1124000,0.01846679591233201,0.180258338153075,0.015361614037393619,0.016121489142040292,1.9540106951871659,1.0,5.234911851802502,/tmp/nxf.XXXXiifSuK/sourmash_database/gtdb-rs214-k31.zip,"GCF_015561145.1 Bacteroides uniformis strain=D6t1_180914_D10, ASM1556114v1",028055a87596d295c70cd52fe44b91f4,0.21669558511663775,935000,11,24702000,DRR127478.fastq.gz,DRR127478,743eab88,60866000,31,DNA,1000,60866,True,0.8791786776056487,0.9518659870581336,0.9155223323318912,0.9518659870581336,False,1827,63243,113327,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis
967000,0.015887359116748268,0.18587521663778164,0.014096539940196497,0.012583056111959198,1.662004662004662,1.0,1.7660292705936813,/tmp/nxf.XXXXiifSuK/sourmash_database/gtdb-rs214-k31.zip,"GCA_003479915.1 Ruminococcus sp. AM46-18 strain=AM46-18, ASM347991v1",f5999712ea1ec70d81c04e1bc32883e9,0.2094887348353553,858000,12,23844000,DRR127478.fastq.gz,DRR127478,743eab88,60866000,31,DNA,1000,60866,True,0.8749221471294306,0.9508279887632584,0.9128750679463444,0.9508279887632584,False,1426,64669,113327,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae
934000,0.015345184503663786,0.2183406113537118,0.013143626983866197,0.013041905282942282,1.8475,1.0,2.9944521619154316,/tmp/nxf.XXXXiifSuK/sourmash_database/gtdb-rs214-k31.zip,"GCF_005845175.1 Blautia obeum strain=1001271st1_E5, ASM584517v1",5405438db1e4039410646235963d7518,0.2549126637554585,800000,13,23044000,DRR127478.fastq.gz,DRR127478,743eab88,60866000,31,DNA,1000,60866,True,0.8739427248743484,0.9568664684822162,0.9154045966782823,0.9568664684822162,False,1478,66147,113327,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A obeum
