intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
1925000,0.053627145085803435,0.535913140311804,0.053627145085803435,0.08426381432566495,2.1444155844155843,1.0,6.987776060296151,/tmp/nxf.XXXXg5EZHd/sourmash_database/gtdb-rs214-k31.zip,"GCA_015669005.1 Lachnospiraceae bacterium 1001713B170207_170306_A9 strain=1001713B170207_170306_A9, ASM1566900v1",7ffcdfaf6f10bb48b9ad65bac6ca4b56,0.535913140311804,1925000,0,29984000,ERR688372.fastq.gz,ERR688372,8920bee3,35896000,31,DNA,1000,35896,True,0.9099392716404221,0.9800790589713497,0.9450091653058859,0.9800790589713497,False,4128,4128,48989,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia stercoris
1653000,0.04604969913082237,0.43397260273972604,0.04412747938488968,0.05772724489171038,1.7853535353535352,1.0,1.7057945292510628,/tmp/nxf.XXXXg5EZHd/sourmash_database/gtdb-rs214-k31.zip,"GCF_013300855.1 Blautia wexlerae strain=MSK.20.14, ASM1330085v1",5817d5a6ba74402fed2e24e9be198ff9,0.45287671232876714,1584000,1,28400000,ERR688372.fastq.gz,ERR688372,8920bee3,35896000,31,DNA,1000,35896,True,0.9054787940687751,0.9747709553361884,0.9401248747024817,0.9747709553361884,False,2828,6956,48989,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae_B
1513000,0.04214954312458213,0.37154046997389034,0.039642299977713395,0.046990140643818,1.617709065354884,1.0,1.164005048236988,/tmp/nxf.XXXXg5EZHd/sourmash_database/gtdb-rs214-k31.zip,"GCF_013301115.1 Fusicatenibacter saccharivorans strain=MSK.13.41, ASM1330111v1",e818e9f1643ee9212eeaf9ca98e30630,0.3950391644908616,1423000,2,26977000,ERR688372.fastq.gz,ERR688372,8920bee3,35896000,31,DNA,1000,35896,True,0.9028975607129954,0.9704840275541197,0.9366907941335576,0.9704840275541197,False,2302,9258,48989,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__Fusicatenibacter saccharivorans
1131000,0.03150768887898373,0.32588235294117646,0.030866948963672834,0.03431382555267509,1.5171480144404332,1.0,0.9115554741341063,/tmp/nxf.XXXXg5EZHd/sourmash_database/gtdb-rs214-k31.zip,"GCA_905205645.1 uncultured Roseburia sp., ERR1430402-mag-bin.26",c854c8f81f49e1545d406f9d8450840a,0.3326470588235294,1108000,3,25869000,ERR688372.fastq.gz,ERR688372,8920bee3,35896000,31,DNA,1000,35896,True,0.8944618542980532,0.965117340937236,0.9297895976176447,0.965117340937236,False,1681,10939,48989,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oliverpabstia;s__Oliverpabstia faecicola
866000,0.024125250724314685,0.3565217391304348,0.023985959438377537,0.03174181959215334,1.8060394889663183,1.0,1.1600235262629783,/tmp/nxf.XXXXg5EZHd/sourmash_database/gtdb-rs214-k31.zip,"GCF_002834235.1 Ruminococcus bromii strain=5AMG, ASM283423v1",0c27e38f5990e49c33434011e5c9e03c,0.35859213250517596,861000,4,25008000,ERR688372.fastq.gz,ERR688372,8920bee3,35896000,31,DNA,1000,35896,True,0.8867918071313958,0.9674583615342757,0.9271250843328358,0.9674583615342757,False,1555,12494,48989,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E bromii_B
919000,0.025601738355248496,0.2274817419529348,0.023428794294628928,0.023658372287656413,1.3781212841854935,1.0,0.7891637016194056,/tmp/nxf.XXXXg5EZHd/sourmash_database/gtdb-rs214-k31.zip,"GCA_018784725.1 [Eubacterium] rectale strain=MCC553, ASM1878472v1",ad2d3b6ab3ff3b14de8f94515a166619,0.2485799296727076,841000,5,24167000,ERR688372.fastq.gz,ERR688372,8920bee3,35896000,31,DNA,1000,35896,True,0.8884926784379257,0.9560902848098238,0.9222914816238748,0.9560902848098238,False,1159,13653,48989,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
897000,0.024988856697125028,0.25420037336652146,0.0227601961221306,0.024066627202024946,1.4430844553243574,1.0,1.6007967061618056,/tmp/nxf.XXXXg5EZHd/sourmash_database/gtdb-rs214-k31.zip,"GCF_020537305.1 Mediterraneibacter faecis strain=MSK.13.52, ASM2053730v1",d9c8958bb67ff6cfacda0283cef78c83,0.2790914747977598,817000,6,23350000,ERR688372.fastq.gz,ERR688372,8920bee3,35896000,31,DNA,1000,35896,True,0.8877984849691964,0.95966765431715,0.9237330696431731,0.95966765431715,False,1179,14832,48989,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter faecis
720000,0.020057945174949854,0.3594608087868198,0.020057945174949854,0.0280266998713997,1.9069444444444446,1.0,1.3451379925999423,/tmp/nxf.XXXXg5EZHd/sourmash_database/gtdb-rs214-k31.zip,"GCA_900758305.1 uncultured Collinsella sp., ERS608502_73",ad529c42b3bbfbdc9a1970992b69cf08,0.3594608087868198,720000,7,22630000,ERR688372.fastq.gz,ERR688372,8920bee3,35896000,31,DNA,1000,35896,True,0.8815258384467317,0.9675338741027768,0.9245298562747543,0.9675338741027768,False,1373,16205,48989,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp003458415
1502000,0.04184310229552039,0.17308667004561581,0.019027189659014933,0.02037192022698973,1.4612005856515373,1.0,1.0107198596687377,/tmp/nxf.XXXXg5EZHd/sourmash_database/gtdb-rs214-k31.zip,"GCF_013301985.1 Blautia wexlerae strain=MSK.18.71, ASM1330198v1",22217a9eb3567a06d5101472cacd52d3,0.3806386213887481,683000,8,21947000,ERR688372.fastq.gz,ERR688372,8920bee3,35896000,31,DNA,1000,35896,True,0.90268505874062,0.9693221937137205,0.9360036262271703,0.9693221937137205,False,998,17203,48989,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae
728000,0.0202808112324493,0.20500305064063454,0.0187207488299532,0.017187531894915186,1.2529761904761905,1.0,0.7060474821512744,/tmp/nxf.XXXXg5EZHd/sourmash_database/gtdb-rs214-k31.zip,"GCF_024460575.1 Anaerostipes hadrus strain=MSK.14.57, ASM2446057v1",889b6538289f3971972fe31a6857f9a1,0.22208663819402075,672000,9,21275000,ERR688372.fastq.gz,ERR688372,8920bee3,35896000,31,DNA,1000,35896,True,0.8818401111027514,0.9526208405952529,0.9172304758490022,0.9526208405952529,False,842,18045,48989,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes hadrus
