intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
3116000,0.0714040193404982,0.607525833495808,0.0714040193404982,0.0927264473776102,1.70442875481386,1,1.3361252587445,/data/namlhs/StrainDB_CRC/sourmash/database/gtdb-rs214-k31.zip,"GCF_000598785.2 Bacteroides fragilis str. I1345 strain=I1345, ASM59878v2",b83643ace92355e221ebc6f02aec51fe,0.607525833495808,3116000,0,36572000,ERR2726543.fastq.gz,ERR2726543_rs214,ec506ee6,43639000,31,DNA,1000,43639,True,0.918381891048395,0.98405238382258,0.951217137435488,0.98405238382258,False,5311,5311,57276
1949000,0.0446618850111139,0.279416101445001,0.0434244597722221,0.0441546197360151,1.33456464379947,1,0.678305359988008,/data/namlhs/StrainDB_CRC/sourmash/database/gtdb-rs214-k31.zip,"GCF_918270795.1 Bacteroides ovatus strain=115, BOVA115",ff1875f2e19aeb196ec68901c0d73f76,0.287378354467709,1895000,1,34677000,ERR2726543.fastq.gz,ERR2726543_rs214,ec506ee6,43639000,31,DNA,1000,43639,True,0.90458541722641,0.96057388626162,0.932579651744015,0.96057388626162,False,2529,7840,57276
1693000,0.0387955727674786,0.352805211178819,0.0384747588166548,0.0428102521125777,1.46039309112567,1,2.49133293835726,/data/namlhs/StrainDB_CRC/sourmash/database/gtdb-rs214-k31.zip,"GCF_001405475.1 Bacteroides uniformis strain=2789STDY5608791, 12718_7#90",8f8f6cba42cfe394ebf9fff7c1ec4eda,0.355747005673461,1679000,2,32998000,ERR2726543.fastq.gz,ERR2726543_rs214,ec506ee6,43639000,31,DNA,1000,43639,True,0.900485749048295,0.967209794077162,0.933847771562729,0.967209794077162,False,2452,10292,57276
1499000,0.0343500080203488,0.539431040691394,0.0343270927381471,0.0682484810391787,2.60947930574099,2,2.17777114932004,/data/namlhs/StrainDB_CRC/sourmash/database/gtdb-rs214-k31.zip,"GCF_018127825.1 Prevotella nigrescens strain=F0109, ASM1812782v1",af31597248aede0f79666587c4f9414f,0.539791141519626,1498000,3,31500000,ERR2726543.fastq.gz,ERR2726543_rs214,ec506ee6,43639000,31,DNA,1000,43639,True,0.896957433955977,0.980307039020215,0.938632236488096,0.980307039020215,False,3909,14201,57276
1479000,0.0338917023763148,0.220415819915585,0.0323105479043974,0.0354424191633494,1.43971631205674,1,3.06517569597254,/data/namlhs/StrainDB_CRC/sourmash/database/gtdb-rs214-k31.zip,"GCF_015547765.1 Bacteroides thetaiotaomicron strain=D40t1_170626_C3, ASM1554776v1",241c9d8b260918aca1ae8e5f354117f1,0.231202125996561,1410000,4,30090000,ERR2726543.fastq.gz,ERR2726543_rs214,ec506ee6,43639000,31,DNA,1000,43639,True,0.896568874141951,0.953857738028114,0.925213306085033,0.953857738028114,False,2030,16231,57276
1447000,0.0331584133458604,0.263761467889908,0.0316230894383464,0.0313569383336825,1.30144927536232,1,0.787859465439163,/data/namlhs/StrainDB_CRC/sourmash/database/gtdb-rs214-k31.zip,"GCF_021406345.1 Phocaeicola vulgatus strain=BJH_99, ASM2140634v1",cbd4cf0ea94a05f0f9a3f456a53bac9b,0.276567278287462,1380000,5,28710000,ERR2726543.fastq.gz,ERR2726543_rs214,ec506ee6,43639000,31,DNA,1000,43639,True,0.895936474347002,0.959386436062593,0.927661455204797,0.959386436062593,False,1796,18027,57276
1430000,0.0327688535484314,0.222388338628294,0.0272691858200234,0.0258223339618688,1.24285714285714,1,0.746315479350313,/data/namlhs/StrainDB_CRC/sourmash/database/gtdb-rs214-k31.zip,"GCF_008572355.1 Bacteroides caccae strain=BIOML-A31, ASM857235v1",782f98674988ef755c44180febfb1ea1,0.267239768267614,1190000,6,27520000,ERR2726543.fastq.gz,ERR2726543_rs214,ec506ee6,43639000,31,DNA,1000,43639,True,0.89559498524081,0.958325265805843,0.926960125523326,0.958325265805843,False,1479,19506,57276
921000,0.021104974907766,0.524188958451907,0.021104974907766,0.0238843494657448,1.48534201954397,1,0.75288234936884,/data/namlhs/StrainDB_CRC/sourmash/database/gtdb-rs214-k31.zip,"GCF_000468815.1 Atopobium sp. BV3Ac4 strain=BV3Ac4, AspBV3AC4v1.0",350bdb2d6bb7c6c6f9d71ad3f0a0297b,0.524188958451907,921000,7,26599000,ERR2726543.fastq.gz,ERR2726543_rs214,ec506ee6,43639000,31,DNA,1000,43639,True,0.882973964446693,0.979379978715877,0.931176971581285,0.979379978715877,False,1368,20874,57276
791000,0.018125988221545,0.308232539992197,0.0181030729393432,0.0203924855087646,1.47848101265823,1,0.804366388913761,/data/namlhs/StrainDB_CRC/sourmash/database/gtdb-rs214-k31.zip,"GCA_018785345.1 Clostridium sp. MCC345 strain=MCC345, ASM1878534v1",3423b7f041b8b71766cce1362ea60e7b,0.308622707764339,790000,8,25809000,ERR2726543.fastq.gz,ERR2726543_rs214,ec506ee6,43639000,31,DNA,1000,43639,True,0.878650546844155,0.962786365813478,0.920718456328816,0.962786365813478,False,1168,22042,57276
714000,0.016361511492014,0.338074917022285,0.0163385962098123,0.0177910468608143,1.42917251051893,1,0.72683796313764,/data/namlhs/StrainDB_CRC/sourmash/database/gtdb-rs214-k31.zip,"GCA_021769645.1 Sutterellaceae bacterium, ASM2176964v1",62138f499c1acd4462f0ef3fd03bc61e,0.338549075391181,713000,9,25096000,ERR2726543.fastq.gz,ERR2726543_rs214,ec506ee6,43639000,31,DNA,1000,43639,True,0.875752530114702,0.965665029650252,0.920708779882477,0.965665029650252,False,1019,23061,57276
