intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
5908000,0.016012272100214924,0.9265997490589711,0.016012272100214924,0.011792761802690864,10.101895734597157,5.0,104.18992463700393,/data/namlhs/StrainDB_CRC/sourmash/gtdb-rs214-reps.k31.zip,"GCF_002234575.2 Enterocloster bolteae strain=ATCC BAA-613, ASM223457v2",93f73424a62c9a7810069426678c2739,0.9265997490589711,5908000,0,160241000,../../test_fastq/DRR127478_2.fastq.gz,DRR127478,e338b2c5,368967000,31,DNA,1000,368967,True,0.8751432104609304,0.9975438735871857,0.936343542024058,0.9975438735871857,False,59682,59682,5060901
4725000,0.012806023302897008,0.75,0.012806023302897008,0.019460171222475998,20.843597883597884,16.0,64.62550059177703,/data/namlhs/StrainDB_CRC/sourmash/gtdb-rs214-reps.k31.zip,"GCF_000011065.1 Bacteroides thetaiotaomicron VPI-5482 strain=VPI-5482, ASM1106v1",df098e390010d8add7b59e4ff0574d30,0.75,4725000,1,155516000,../../test_fastq/DRR127478_2.fastq.gz,DRR127478,e338b2c5,368967000,31,DNA,1000,368967,True,0.8688580875464932,0.9907628600762322,0.9298104738113626,0.9907628600762322,False,98486,158168,5060901
4392000,0.011903503565359503,0.7878402903811252,0.01176527982177268,0.14310119877863645,166.8327574291638,161.0,76.9171382742962,/data/namlhs/StrainDB_CRC/sourmash/gtdb-rs214-reps.k31.zip,"GCF_013009555.1 Bacteroides dorei strain=DSM 17855, ASM1300955v1",f906f0ea3324bc6db880a742f3f0b0ba,0.7970961887477314,4341000,2,151175000,../../test_fastq/DRR127478_2.fastq.gz,DRR127478,e338b2c5,368967000,31,DNA,1000,368967,True,0.8668121572062937,0.9927112117459304,0.9297616844761121,0.9927112117459304,False,724221,882389,5060901
4347000,0.011781541438665246,0.9453985028621753,0.011637897156114232,0.010536661357335383,12.418490917559385,9.0,24.743683577755252,/data/namlhs/StrainDB_CRC/sourmash/gtdb-rs214-reps.k31.zip,"GCA_025147485.1 Bacteroides uniformis strain=ATCC 8492, ASM2514748v1",2fc80b3803e2d9af5d93edb14dd1cc3b,0.9570673712021136,4294000,3,146881000,../../test_fastq/DRR127478_2.fastq.gz,DRR127478,e338b2c5,368967000,31,DNA,1000,368967,True,0.8665242345963706,0.9985854694032784,0.9325548519998246,0.9985854694032784,False,53325,935714,5060901
3973000,0.010767900652361865,0.7052956111715633,0.010540238015865918,0.013771658445798486,17.921573669323735,16.0,18.59282813073317,/data/namlhs/StrainDB_CRC/sourmash/gtdb-rs214-reps.k31.zip,"GCA_000613465.1 Bacteroides nordii WAL 11050 = JCM 12987 strain=JCM 12987, ASM61346v1",e1a6b1808735b4a3230b660a9d899fa2,0.7205295611171564,3889000,4,142992000,../../test_fastq/DRR127478_2.fastq.gz,DRR127478,e338b2c5,368967000,31,DNA,1000,368967,True,0.8640131575159888,0.9894825114237153,0.9267478344698521,0.9894825114237153,False,69697,1005411,5060901
3541000,0.009597064236096995,0.7210344125432702,0.009597064236096995,0.0340299089035727,48.63654334933634,47.0,22.261908123869702,/data/namlhs/StrainDB_CRC/sourmash/gtdb-rs214-reps.k31.zip,"GCF_003697165.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 strain=ATCC 11775, ASM369716v2",60bfe150353edefcbd7db7314951359d,0.7210344125432702,3541000,5,139451000,../../test_fastq/DRR127478_2.fastq.gz,DRR127478,e338b2c5,368967000,31,DNA,1000,368967,True,0.8608107667536912,0.9895048682944468,0.925157817524069,0.9895048682944468,False,172222,1177633,5060901
3501000,0.00948865345681321,0.7494476358815731,0.009193234083264898,0.02001481554371445,29.862323113207548,29.0,16.334312342351133,/data/namlhs/StrainDB_CRC/sourmash/gtdb-rs214-reps.k31.zip,"GCF_002222615.2 Bacteroides caccae strain=ATCC 43185, ASM222261v2",47030cb09435e5a03e1ce6a49f0753a5,0.7735307114449845,3392000,6,136059000,../../test_fastq/DRR127478_2.fastq.gz,DRR127478,e338b2c5,368967000,31,DNA,1000,368967,True,0.8604953643066878,0.9917506686950149,0.9261230165008514,0.9917506686950149,False,101293,1278926,5060901
3294000,0.008927627674019627,0.5391304347826087,0.008401835394493275,0.0052836441574336266,8.625806451612902,7.0,11.47847825538356,/data/namlhs/StrainDB_CRC/sourmash/gtdb-rs214-reps.k31.zip,"GCF_000210075.1 Bacteroides xylanisolvens XB1A strain=XB1A, ASM21007v1",c08f8e47dd318b08d89c36c36e6da9e1,0.5728695652173913,3100000,7,132959000,../../test_fastq/DRR127478_2.fastq.gz,DRR127478,e338b2c5,368967000,31,DNA,1000,368967,True,0.8588052920225561,0.9821896351082474,0.9204974635654017,0.9821896351082474,False,26740,1305666,5060901
3213000,0.008708095845969965,0.7068530827412332,0.008358471082779761,0.008193600309510106,13.445849546044098,11.0,16.057047667320205,/data/namlhs/StrainDB_CRC/sourmash/gtdb-rs214-reps.k31.zip,"GCA_025151215.1 Parabacteroides merdae ATCC 43184 strain=ATCC 43184, ASM2515121v1",a8c995daf67b413b45a7f31c15f510d6,0.7364198945679579,3084000,8,129875000,../../test_fastq/DRR127478_2.fastq.gz,DRR127478,e338b2c5,368967000,31,DNA,1000,368967,True,0.858115822187497,0.9901790336534342,0.9241474279204656,0.9901790336534342,False,41467,1347133,5060901
3027000,0.008203985722300368,0.698876930276088,0.008095574943016584,0.0023900882471322793,4.049548041513224,3.0,5.815908906990762,/data/namlhs/StrainDB_CRC/sourmash/gtdb-rs214-reps.k31.zip,"GCF_000190535.1 Odoribacter splanchnicus DSM 20712 strain=DSM 220712, ASM19053v1",b37a0141517537faad74a6d2ac4d5c41,0.7082358446420215,2987000,9,126888000,../../test_fastq/DRR127478_2.fastq.gz,DRR127478,e338b2c5,368967000,31,DNA,1000,368967,True,0.856466697127247,0.9889333641040194,0.9227000306156332,0.9889333641040194,False,12096,1359229,5060901
2980000,0.008076603056641922,0.6407934454506252,0.008054920900785165,0.013381214135585738,22.786339165545087,3.0,77.63238448992509,/data/namlhs/StrainDB_CRC/sourmash/gtdb-rs214-reps.k31.zip,"GCF_003460605.1 Ruminococcus sp. AF31-8BH strain=AF31-8BH, ASM346060v1",17b16c7db81a11816f0b7b13503fecb8,0.6425183268650281,2972000,10,123916000,../../test_fastq/DRR127478_2.fastq.gz,DRR127478,e338b2c5,368967000,31,DNA,1000,368967,True,0.8560344637900744,0.9858316538377041,0.9209330588138893,0.9858316538377041,False,67721,1426950,5060901
2918000,0.007908566348752056,0.6214194100042754,0.007878753384449017,0.0019500480250453428,3.3949088407292742,3.0,4.513506262982211,/data/namlhs/StrainDB_CRC/sourmash/gtdb-rs214-reps.k31.zip,"GCF_000466485.1 [Clostridium] symbiosum ATCC 14940 strain=ATCC 14940, ASM46648v1",1d173544271fef8a51c6d94810f03490,0.6237708422402736,2907000,11,121009000,../../test_fastq/DRR127478_2.fastq.gz,DRR127478,e338b2c5,368967000,31,DNA,1000,368967,True,0.8554540800925626,0.9848904027344444,0.9201722414135035,0.9848904027344444,False,9869,1436819,5060901
2911000,0.007889594462377395,0.7875275938189845,0.007735109101898002,0.05664505193838014,100.44674141555711,93.0,107.42167402017871,/data/namlhs/StrainDB_CRC/sourmash/gtdb-rs214-reps.k31.zip,"GCF_008121495.1 [Ruminococcus] gnavus ATCC 29149 strain=JCM6515, ASM812149v1",4f9f7653a293be189ac633bff28f9766,0.8032560706401766,2854000,12,118155000,../../test_fastq/DRR127478_2.fastq.gz,DRR127478,e338b2c5,368967000,31,DNA,1000,368967,True,0.8553878046901283,0.9929577612290563,0.9241727829595923,0.9929577612290563,False,286675,1723494,5060901
2838000,0.007691744790184488,0.8829754123871771,0.0076890345207023935,0.004720503325396011,8.420867113147692,8.0,5.667048035720333,/data/namlhs/StrainDB_CRC/sourmash/gtdb-rs214-reps.k31.zip,"GCF_014131695.1 Erysipelatoclostridium ramosum DSM 1402 strain=DSM 1402, ASM1413169v1",ece36072373c7b77383d2692bfd3aee1,0.8832866479925303,2837000,13,115318000,../../test_fastq/DRR127478_2.fastq.gz,DRR127478,e338b2c5,368967000,31,DNA,1000,368967,True,0.8546873059439045,0.9960045996648184,0.9253459528043615,0.9960045996648184,False,23890,1747384,5060901
